,Unnamed: 0,f1_scores,perc_withaddednoise,dataset
50,50,0.906,0.3,Lee_et_al_Science_Covidonly
51,51,0.91,0.3,Lee_et_al_Science_Covidonly
52,52,0.911,0.3,Lee_et_al_Science_Covidonly
53,53,0.902,0.3,Lee_et_al_Science_Covidonly
54,54,0.91,0.3,Lee_et_al_Science_Covidonly
55,55,0.91,0.3,Lee_et_al_Science_Covidonly
56,56,0.903,0.3,Lee_et_al_Science_Covidonly
57,57,0.913,0.3,Lee_et_al_Science_Covidonly
58,58,0.913,0.3,Lee_et_al_Science_Covidonly
59,59,0.905,0.3,Lee_et_al_Science_Covidonly
60,60,0.899,0.3,Lee_et_al_Science_Covidonly
61,61,0.901,0.3,Lee_et_al_Science_Covidonly
62,62,0.91,0.3,Lee_et_al_Science_Covidonly
63,63,0.907,0.3,Lee_et_al_Science_Covidonly
64,64,0.909,0.3,Lee_et_al_Science_Covidonly
65,65,0.908,0.3,Lee_et_al_Science_Covidonly
66,66,0.902,0.3,Lee_et_al_Science_Covidonly
67,67,0.896,0.3,Lee_et_al_Science_Covidonly
68,68,0.896,0.3,Lee_et_al_Science_Covidonly
69,69,0.908,0.3,Lee_et_al_Science_Covidonly
70,70,0.911,0.3,Lee_et_al_Science_Covidonly
71,71,0.912,0.3,Lee_et_al_Science_Covidonly
72,72,0.903,0.3,Lee_et_al_Science_Covidonly
73,73,0.901,0.3,Lee_et_al_Science_Covidonly
74,74,0.912,0.3,Lee_et_al_Science_Covidonly
75,75,0.909,0.3,Lee_et_al_Science_Covidonly
76,76,0.904,0.3,Lee_et_al_Science_Covidonly
77,77,0.904,0.3,Lee_et_al_Science_Covidonly
78,78,0.91,0.3,Lee_et_al_Science_Covidonly
79,79,0.903,0.3,Lee_et_al_Science_Covidonly
80,80,0.91,0.3,Lee_et_al_Science_Covidonly
81,81,0.901,0.3,Lee_et_al_Science_Covidonly
82,82,0.905,0.3,Lee_et_al_Science_Covidonly
83,83,0.908,0.3,Lee_et_al_Science_Covidonly
84,84,0.903,0.3,Lee_et_al_Science_Covidonly
85,85,0.902,0.3,Lee_et_al_Science_Covidonly
86,86,0.912,0.3,Lee_et_al_Science_Covidonly
87,87,0.895,0.3,Lee_et_al_Science_Covidonly
88,88,0.903,0.3,Lee_et_al_Science_Covidonly
89,89,0.907,0.3,Lee_et_al_Science_Covidonly
90,90,0.911,0.3,Lee_et_al_Science_Covidonly
91,91,0.907,0.3,Lee_et_al_Science_Covidonly
92,92,0.9,0.3,Lee_et_al_Science_Covidonly
